path	type	size_bytes	size_human	category	recommendation	reason	reproducible	important
tests/__pycache__/test_neural_calibration.cpython-311-pytest-9.0.3.pyc	file	23281	22.7K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_neural_full_training.cpython-311-pytest-9.0.3.pyc	file	24176	23.6K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_neural_infra.cpython-311-pytest-9.0.3.pyc	file	16566	16.2K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_neural_smoke_training.cpython-311-pytest-9.0.3.pyc	file	20556	20.1K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_prediction_diagnostics_and_neural_v2.cpython-311-pytest-9.0.3.pyc	file	31600	30.9K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_ranking_repair_and_signal_audit.cpython-311-pytest-9.0.3.pyc	file	26839	26.2K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_reports.cpython-311-pytest-9.0.3.pyc	file	20399	19.9K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_run_summary_and_compare.cpython-311-pytest-9.0.3.pyc	file	29054	28.4K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_saturation_aware_training.cpython-311-pytest-9.0.3.pyc	file	42835	41.8K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_saturation_panel_and_merge.cpython-311-pytest-9.0.3.pyc	file	39351	38.4K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_simulator.cpython-311-pytest-9.0.3.pyc	file	15225	14.9K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_site_level_oracle_and_baseline.cpython-311-pytest-9.0.3.pyc	file	34608	33.8K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_site_neural_and_aggregation.cpython-311-pytest-9.0.3.pyc	file	33743	33.0K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_site_robustness_and_controls.cpython-311-pytest-9.0.3.pyc	file	27239	26.6K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_storage_audit.cpython-311-pytest-9.0.3.pyc	file	16424	16.0K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_stratified_eval.cpython-311-pytest-9.0.3.pyc	file	31165	30.4K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_tensors.cpython-311-pytest-9.0.3.pyc	file	22788	22.3K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
tests/__pycache__/test_threshold_policy.cpython-311-pytest-9.0.3.pyc	file	32357	31.6K	logs_caches_temp	remove	cache/log/temp artifact	yes	no
